key,day_of_month,avg_units,avg_values,num_observations
Amazon_ACCO5M,1,131.0,22176.108642372885,24
Amazon_ACCO5M,2,151.16,25593.782919864407,25
Amazon_ACCO5M,3,166.2,28112.88605997288,25
Amazon_ACCO5M,4,147.52,24961.237400542374,25
Amazon_ACCO5M,5,137.16,23212.459532854242,25
Amazon_ACCO5M,6,135.84,22966.92484461017,25
Amazon_ACCO5M,7,130.04,21986.297873491527,25
Amazon_ACCO5M,8,128.68,21757.22573064407,25
Amazon_ACCO5M,9,125.36,21197.082480949153,25
Amazon_ACCO5M,10,110.84,18747.26445538983,25
Amazon_ACCO5M,11,106.16,17948.28457681356,25
Amazon_ACCO5M,12,109.72,18549.743355118648,25
Amazon_ACCO5M,13,110.4,18665.51160976271,25
Amazon_ACCO5M,14,127.44,21540.26777505085,25
Amazon_ACCO5M,15,113.64,19216.52946725424,25
Amazon_ACCO5M,16,119.6,20221.609035932204,25
Amazon_ACCO5M,17,106.32,17972.19948766102,25
Amazon_ACCO5M,18,108.88,18401.13253227119,25
Amazon_ACCO5M,19,116.24,19644.736388474576,25
Amazon_ACCO5M,20,112.36,18988.18374061017,25
Amazon_ACCO5M,21,112.36,18992.022480745763,25
Amazon_ACCO5M,22,114.04,19276.785784474578,25
Amazon_ACCO5M,23,107.08333333333333,18101.216054096047,24
Amazon_ACCO5M,24,99.66666666666667,16845.786864053673,24
Amazon_ACCO5M,25,102.5,17324.619726129942,24
Amazon_ACCO5M,26,105.70833333333333,17866.688951129945,24
Amazon_ACCO5M,27,114.6,19366.98405505085,25
Amazon_ACCO5M,28,111.44,18838.23956745763,25
Amazon_ACCO5M,29,117.08333333333333,19786.69449908192,24
Amazon_ACCO5M,30,111.43478260869566,18832.643716138544,23
Amazon_ACCO5M,31,85.26666666666667,14406.53552723164,15
Amazon_ACFM5,1,112.0,17357.676574060428,23
Amazon_ACFM5,2,129.8695652173913,20113.281802505528,23
Amazon_ACFM5,3,130.95652173913044,20214.190225644805,23
Amazon_ACFM5,4,118.65217391304348,18300.632365364778,23
Amazon_ACFM5,5,117.66666666666667,18171.32259329096,24
Amazon_ACFM5,6,115.26086956521739,17801.48186249079,23
Amazon_ACFM5,7,105.95833333333333,16392.23692217514,24
Amazon_ACFM5,8,104.29166666666667,16128.388652316384,24
Amazon_ACFM5,9,103.41666666666667,16004.062337711863,24
Amazon_ACFM5,10,110.45833333333333,17066.329025,24
Amazon_ACFM5,11,100.5,15512.600279166667,24
Amazon_ACFM5,12,83.24,12851.40027376271,25
Amazon_ACFM5,13,95.3913043478261,14744.386570302137,23
Amazon_ACFM5,14,83.0,12824.602414576271,25
Amazon_ACFM5,15,101.43478260869566,15633.908579955783,23
Amazon_ACFM5,16,80.875,12442.17075042373,24
Amazon_ACFM5,17,76.875,11817.77446299435,24
Amazon_ACFM5,18,92.0,14177.109344878409,23
Amazon_ACFM5,19,101.08695652173913,15581.1525587325,23
Amazon_ACFM5,20,85.52173913043478,13178.588363817245,23
Amazon_ACFM5,21,91.33333333333333,14054.92757648305,24
Amazon_ACFM5,22,102.8695652173913,15794.62968459838,23
Amazon_ACFM5,23,102.19047619047619,15743.345514285713,21
Amazon_ACFM5,24,92.31818181818181,14221.653399229584,22
Amazon_ACFM5,25,86.13636363636364,13282.281872187981,22
Amazon_ACFM5,26,94.91304347826087,14666.776587840825,23
